sample_index,clean_label,clean_class_name,noisy_label,noisy_class_name,is_noisy
0,6,frog,6,frog,False
1,9,truck,9,truck,False
2,9,truck,9,truck,False
3,4,deer,4,deer,False
4,1,automobile,1,automobile,False
5,1,automobile,1,automobile,False
6,2,bird,2,bird,False
7,7,horse,7,horse,False
8,8,ship,8,ship,False
9,3,cat,3,cat,False
10,4,deer,4,deer,False
11,7,horse,7,horse,False
12,7,horse,7,horse,False
13,2,bird,2,bird,False
14,9,truck,9,truck,False
15,9,truck,9,truck,False
16,9,truck,9,truck,False
17,3,cat,3,cat,False
18,2,bird,2,bird,False
19,6,frog,6,frog,False
20,4,deer,4,deer,False
21,3,cat,3,cat,False
22,6,frog,6,frog,False
23,6,frog,6,frog,False
24,2,bird,1,automobile,True
25,6,frog,6,frog,False
26,3,cat,0,airplane,True
27,5,dog,5,dog,False
28,4,deer,4,deer,False
29,0,airplane,0,airplane,False
30,0,airplane,0,airplane,False
31,9,truck,9,truck,False
32,1,automobile,1,automobile,False
33,3,cat,3,cat,False
34,4,deer,4,deer,False
35,0,airplane,0,airplane,False
36,3,cat,3,cat,False
37,7,horse,7,horse,False
38,3,cat,3,cat,False
39,3,cat,3,cat,False
40,5,dog,5,dog,False
41,2,bird,2,bird,False
42,2,bird,2,bird,False
43,7,horse,7,horse,False
44,1,automobile,1,automobile,False
45,1,automobile,1,automobile,False
46,1,automobile,1,automobile,False
47,2,bird,2,bird,False
48,2,bird,2,bird,False
49,0,airplane,0,airplane,False
50,9,truck,5,dog,True
51,5,dog,5,dog,False
52,7,horse,7,horse,False
53,9,truck,9,truck,False
54,2,bird,2,bird,False
55,2,bird,2,bird,False
56,5,dog,5,dog,False
57,2,bird,2,bird,False
58,4,deer,4,deer,False
59,3,cat,7,horse,True
60,1,automobile,1,automobile,False
61,1,automobile,1,automobile,False
62,8,ship,8,ship,False
63,2,bird,2,bird,False
64,1,automobile,1,automobile,False
65,1,automobile,1,automobile,False
66,4,deer,4,deer,False
67,9,truck,9,truck,False
68,7,horse,7,horse,False
69,8,ship,8,ship,False
70,5,dog,7,horse,True
71,9,truck,9,truck,False
72,6,frog,6,frog,False
73,7,horse,7,horse,False
74,3,cat,9,truck,True
75,1,automobile,1,automobile,False
76,9,truck,9,truck,False
77,0,airplane,0,airplane,False
78,3,cat,3,cat,False
79,1,automobile,5,dog,True
80,3,cat,8,ship,True
81,5,dog,5,dog,False
82,4,deer,4,deer,False
83,5,dog,5,dog,False
84,7,horse,7,horse,False
85,7,horse,7,horse,False
86,4,deer,4,deer,False
87,7,horse,7,horse,False
88,9,truck,9,truck,False
89,4,deer,4,deer,False
90,2,bird,2,bird,False
91,3,cat,3,cat,False
92,8,ship,8,ship,False
93,0,airplane,0,airplane,False
94,1,automobile,1,automobile,False
95,6,frog,6,frog,False
96,1,automobile,1,automobile,False
97,1,automobile,1,automobile,False
98,4,deer,4,deer,False
99,1,automobile,1,automobile,False
100,8,ship,8,ship,False
101,3,cat,3,cat,False
102,9,truck,9,truck,False
103,6,frog,6,frog,False
104,6,frog,6,frog,False
105,1,automobile,1,automobile,False
106,8,ship,8,ship,False
107,5,dog,5,dog,False
108,2,bird,2,bird,False
109,9,truck,9,truck,False
110,9,truck,6,frog,True
111,8,ship,8,ship,False
112,1,automobile,1,automobile,False
113,7,horse,7,horse,False
114,7,horse,7,horse,False
115,0,airplane,0,airplane,False
116,0,airplane,0,airplane,False
117,6,frog,6,frog,False
118,9,truck,9,truck,False
119,1,automobile,1,automobile,False
120,2,bird,2,bird,False
121,2,bird,2,bird,False
122,9,truck,9,truck,False
123,2,bird,2,bird,False
124,6,frog,6,frog,False
125,6,frog,6,frog,False
126,1,automobile,1,automobile,False
127,9,truck,9,truck,False
128,5,dog,5,dog,False
129,0,airplane,0,airplane,False
130,4,deer,4,deer,False
131,7,horse,7,horse,False
132,6,frog,6,frog,False
133,7,horse,7,horse,False
134,1,automobile,1,automobile,False
135,8,ship,8,ship,False
136,1,automobile,1,automobile,False
137,1,automobile,3,cat,True
138,2,bird,2,bird,False
139,8,ship,8,ship,False
140,1,automobile,1,automobile,False
141,3,cat,3,cat,False
142,3,cat,3,cat,False
143,6,frog,6,frog,False
144,2,bird,8,ship,True
145,4,deer,4,deer,False
146,9,truck,9,truck,False
147,9,truck,0,airplane,True
148,5,dog,6,frog,True
149,4,deer,4,deer,False
150,3,cat,3,cat,False
151,6,frog,6,frog,False
152,7,horse,7,horse,False
153,4,deer,4,deer,False
154,6,frog,6,frog,False
155,8,ship,8,ship,False
156,5,dog,9,truck,True
157,5,dog,5,dog,False
158,4,deer,4,deer,False
159,3,cat,3,cat,False
160,1,automobile,1,automobile,False
161,8,ship,8,ship,False
162,4,deer,4,deer,False
163,7,horse,7,horse,False
164,6,frog,6,frog,False
165,0,airplane,0,airplane,False
166,9,truck,9,truck,False
167,5,dog,5,dog,False
168,1,automobile,1,automobile,False
169,3,cat,3,cat,False
170,8,ship,8,ship,False
171,2,bird,2,bird,False
172,7,horse,7,horse,False
173,5,dog,5,dog,False
174,3,cat,3,cat,False
175,4,deer,4,deer,False
176,1,automobile,1,automobile,False
177,5,dog,5,dog,False
178,7,horse,7,horse,False
179,0,airplane,0,airplane,False
180,4,deer,4,deer,False
181,7,horse,7,horse,False
182,5,dog,5,dog,False
183,5,dog,5,dog,False
184,1,automobile,1,automobile,False
185,0,airplane,0,airplane,False
186,9,truck,9,truck,False
187,6,frog,6,frog,False
188,9,truck,9,truck,False
189,0,airplane,0,airplane,False
190,8,ship,8,ship,False
191,7,horse,7,horse,False
192,8,ship,8,ship,False
193,8,ship,5,dog,True
194,2,bird,2,bird,False
195,5,dog,5,dog,False
196,2,bird,2,bird,False
197,3,cat,3,cat,False
198,5,dog,5,dog,False
199,0,airplane,0,airplane,False
200,6,frog,6,frog,False
201,1,automobile,9,truck,True
202,9,truck,9,truck,False
203,3,cat,3,cat,False
204,6,frog,6,frog,False
205,9,truck,9,truck,False
206,1,automobile,1,automobile,False
207,3,cat,3,cat,False
208,9,truck,9,truck,False
209,6,frog,6,frog,False
210,6,frog,6,frog,False
211,7,horse,7,horse,False
212,1,automobile,1,automobile,False
213,0,airplane,0,airplane,False
214,9,truck,9,truck,False
215,5,dog,0,airplane,True
216,8,ship,8,ship,False
217,5,dog,5,dog,False
218,2,bird,5,dog,True
219,9,truck,7,horse,True
220,0,airplane,6,frog,True
221,8,ship,8,ship,False
